,0
1999-01-15,1.111096029737982
1999-02-15,2.142759005145798
1999-03-15,1.0530921766774142
1999-04-15,0.7758552419564428
1999-05-15,1.0034666579478178
1999-06-15,
1999-07-15,1.1621179375227404
1999-08-15,0.922368678205728
1999-09-15,1.1368110712615005
1999-10-15,0.8205211719728784
1999-11-15,2.2942672176308534
1999-12-15,1.2772848470509792
2000-01-15,1.6456122771453823
2000-02-15,1.170204718094941
2000-03-15,1.191656936766548
2000-04-15,1.069548084619783
2000-05-15,0.8771471557270265
2000-06-15,1.377892270908052
2000-07-15,1.0311796099656445
2000-08-15,1.1504097523679222
2000-09-15,0.8983937522740268
2000-10-15,0.8687465976975647
2000-11-15,0.8757507666718645
2000-12-15,1.0337575589905585
2001-01-15,1.143964879805637
2001-02-15,1.330037557639616
2001-03-15,0.9029266459761677
2001-04-15,0.8091537501949169
2001-05-15,1.22954741670565
2001-06-15,1.0149385311086856
2001-07-15,1.0485807658838147
2001-08-15,1.2155029652470035
2001-09-15,0.7751892717916733
2001-10-15,0.9667308843427918
2001-11-15,1.3619089869535845
2001-12-15,1.8213209861018198
2002-01-15,1.2167919397594607
2002-02-15,1.2544023746407968
2002-03-15,1.6898455858312
2002-04-15,1.8327498934456052
2002-05-15,1.0518032021649573
2002-06-15,1.4444892873849997
2002-07-15,0.9970217853855325
2002-08-15,0.7321375230756078
2002-09-15,0.8757507666718646
2002-10-15,
2002-11-15,0.7645337491553612
2002-12-15,1.3282882350869956
2003-01-15,1.936684204966726
2003-02-15,3.528452640841149
2003-03-15,1.8703020175751877
2003-04-15,1.343261822340039
2003-05-15,0.9905769128232472
2003-06-15,1.052898830500546
2003-07-15,1.236771044702545
2003-08-15,1.6608436593009162
2003-09-15,1.7854660117469725
2003-10-15,1.1342975709622092
2003-11-15,0.9689865897395915
2003-12-15,0.9325730597626797
2004-01-15,1.0608904724777797
2004-02-15,2.451229496120489
2004-03-15,1.529368259030296
2004-04-15,0.9609949477623579
2004-05-15,1.067270896314442
2004-06-15,0.9928746499976271
2004-07-15,0.9867099892858762
2004-08-15,0.8531077810697021
2004-09-15,0.9882997245179065
2004-10-15,0.8191433026664587
2004-11-15,0.9909636051769845
2004-12-15,0.8494342037092
2005-01-15,1.190367962254091
2005-02-15,1.984353244525629
2005-03-15,1.6357086563080045
2005-04-15,1.229380924164458
2005-05-15,1.1845675769480342
2005-06-15,1.4258421227714537
2005-07-15,1.0208678138659881
2005-08-15,0.9100160057946811
2005-09-15,1.3034643638729524
2005-10-15,0.8391224076095429
2005-11-15,0.9853979973714105
2005-12-15,1.1639439847487214
2006-01-15,2.7874073831883828
2006-02-15,2.025024993874051
2006-03-15,1.7858741870092505
2006-04-15,1.0222642029211497
2006-05-15,0.9148765138520712
2006-06-15,1.1005880853429515
2006-07-15,1.1710333445672352
2006-08-15,0.891325875364054
2006-09-15,0.8637633037060138
2006-10-15,0.7758552419564427
2006-11-15,0.795834346899527
2006-12-15,0.9744647314175343
2007-01-15,0.730848548563151
2007-02-15,0.8139635347182518
2007-03-15,1.2058356564035757
2007-04-15,1.6615955610998492
2007-05-15,1.0124894795350172
2007-06-15,1.114168085659338
2007-07-15,0.8120539428479449
2007-08-15,0.8455672801718285
2007-09-15,0.8238050938198455
2007-10-15,0.8745692067021122
2007-11-15,0.8171453921721503
2007-12-15,0.9042156204886244
